CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,RESOURCE OF STARTING ACTIVITY,NUMBER OF ACTIVE CASES AT START,Decision
"Case 1967","Question","Gold","Normal","Res3",13,"False/No-Wait"
"Case 1968","Question","Gold","High","Res4",13,"False/No-Wait"
"Case 1969","Incident","Gold","High","Res4",13,"False/No-Wait"
"Case 197","Question","Premium","High","Res8",13,"False/No-Wait"
"Case 1970","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 1971","Task","Premium","Urgent","Res8",13,"False/No-Wait"
"Case 1972","Incident","Premium","Normal","Res4",13,"False/No-Wait"
"Case 1973","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 1974","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 1975","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 1976","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 1977","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 1978","Task","Premium","High","Res8",13,"True/Wait"
"Case 1979","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 198","Task","Gold","Normal","Res4",13,"False/No-Wait"
"Case 1980","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 1981","Incident","Gold","Urgent","Res4",13,"False/No-Wait"
"Case 1982","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 1983","Task","Gold","Normal","Res8",13,"False/No-Wait"
"Case 1984","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 1985","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 1986","Question","Premium","Normal","Res3",13,"False/No-Wait"
"Case 1987","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 1988","Incident","Gold","Normal","Res4",13,"False/No-Wait"
"Case 1989","Incident","Gold","Urgent","Res8",13,"False/No-Wait"
"Case 199","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 1990","Task","Gold","High","Res3",13,"False/No-Wait"
"Case 1991","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 1992","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 1993","Question","Premium","Normal","Res8",13,"False/No-Wait"
"Case 1994","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 1995","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 1996","Task","Premium","High","Res4",13,"False/No-Wait"
"Case 1997","Question","Gold","High","Res8",13,"False/No-Wait"
"Case 1998","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 1999","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 2","Task","Premium","High","Res3",13,"False/No-Wait"
"Case 20","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 200","Question","Premium","High","Res4",13,"False/No-Wait"
"Case 2000","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2001","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 2002","Question","Premium","High","Res8",13,"False/No-Wait"
"Case 2003","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2004","Question","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2005","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2006","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2007","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2008","Question","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2009","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 201","Question","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2010","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2011","Question","Gold","Urgent","Res4",13,"False/No-Wait"
"Case 2012","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 2013","Incident","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2014","Task","Gold","Normal","Res8",13,"True/Wait"
"Case 2015","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2016","Question","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2017","Question","Premium","Urgent","Res8",13,"False/No-Wait"
"Case 2018","Incident","Premium","Normal","Res3",13,"True/Wait"
"Case 2019","Task","Premium","High","Res3",13,"True/Wait"
"Case 202","Task","Premium","Urgent","Res3",13,"True/Wait"
"Case 2020","Question","Premium","Normal","Res3",13,"False/No-Wait"
"Case 2021","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 2022","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2023","Incident","Gold","High","Res3",13,"False/No-Wait"
"Case 2024","Task","Gold","Normal","Res3",13,"True/Wait"
"Case 2025","Question","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2026","Task","Premium","Normal","Res3",13,"False/No-Wait"
"Case 2027","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2028","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2029","Task","Gold","Normal","Res3",13,"False/No-Wait"
"Case 203","Question","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2030","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 2031","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2032","Question","Premium","Normal","Res3",13,"False/No-Wait"
"Case 2033","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 2034","Task","Gold","High","Res8",13,"False/No-Wait"
"Case 2035","Task","Premium","Urgent","Res4",13,"False/No-Wait"
"Case 2036","Question","Premium","Normal","Res4",13,"True/Wait"
"Case 2037","Task","Gold","High","Res8",13,"False/No-Wait"
"Case 2038","Question","Premium","High","Res4",13,"False/No-Wait"
"Case 2039","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 204","Question","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2040","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 2041","Incident","Premium","Normal","Res3",13,"True/Wait"
"Case 2042","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 2043","Incident","Gold","High","Res4",13,"False/No-Wait"
"Case 2044","Question","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2045","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2046","Task","Premium","High","Res4",13,"False/No-Wait"
"Case 2047","Question","Premium","Urgent","Res8",13,"False/No-Wait"
"Case 2048","Task","Gold","Normal","Res8",13,"True/Wait"
"Case 2049","Question","Gold","High","Res4",13,"False/No-Wait"
"Case 205","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2050","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2051","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 2052","Task","Premium","High","Res4",13,"False/No-Wait"
"Case 2053","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2054","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 2055","Question","Premium","Normal","Res3",13,"False/No-Wait"
"Case 2056","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2057","Task","Premium","High","Res8",13,"False/No-Wait"
"Case 2058","Task","Premium","Normal","Res3",13,"False/No-Wait"
"Case 2059","Task","Premium","High","Res4",13,"True/Wait"
"Case 206","Question","Premium","Normal","Res8",13,"True/Wait"
"Case 2060","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2061","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 2062","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 2063","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2064","Task","Premium","High","Res8",13,"False/No-Wait"
"Case 2065","Question","Premium","Normal","Res8",13,"False/No-Wait"
"Case 2066","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2067","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2068","Question","Premium","Urgent","Res3",13,"False/No-Wait"
"Case 2069","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 207","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 2070","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2071","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2072","Incident","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2073","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2074","Incident","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2075","Incident","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2076","Incident","Gold","High","Res4",13,"False/No-Wait"
"Case 2077","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2078","Task","Premium","High","Res3",13,"True/Wait"
"Case 2079","Incident","Premium","High","Res8",13,"True/Wait"
"Case 208","Question","Gold","High","Res8",13,"False/No-Wait"
"Case 2080","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2081","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 2082","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2083","Incident","Premium","Normal","Res3",13,"False/No-Wait"
"Case 2084","Incident","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2085","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2086","Incident","Gold","High","Res3",13,"False/No-Wait"
"Case 2087","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2088","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2089","Incident","Gold","Normal","Res4",13,"False/No-Wait"
"Case 209","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2090","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2091","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2092","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2093","Question","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2094","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2095","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2096","Task","Gold","High","Res3",13,"False/No-Wait"
"Case 2097","Task","Premium","Urgent","Res3",13,"False/No-Wait"
"Case 2098","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2099","Incident","Gold","Normal","Res3",13,"False/No-Wait"
"Case 21","Incident","Gold","Normal","Res4",13,"False/No-Wait"
"Case 210","Task","Gold","High","Res8",13,"True/Wait"
"Case 2100","Question","Gold","High","Res8",13,"False/No-Wait"
"Case 2101","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2102","Task","Premium","Normal","Res4",13,"True/Wait"
"Case 2103","Question","Premium","Normal","Res4",13,"True/Wait"
"Case 2104","Task","Premium","Normal","Res8",13,"False/No-Wait"
"Case 2105","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 2106","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2107","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 2108","Task","Premium","Urgent","Res8",13,"False/No-Wait"
"Case 2109","Question","Gold","High","Res3",13,"False/No-Wait"
"Case 211","Question","Gold","High","Res4",13,"False/No-Wait"
"Case 2110","Question","Gold","Urgent","Res4",13,"False/No-Wait"
"Case 2111","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2112","Task","Premium","High","Res3",13,"True/Wait"
"Case 2113","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2114","Task","Premium","Normal","Res4",13,"False/No-Wait"
"Case 2115","Task","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2116","Question","Gold","Normal","Res3",13,"False/No-Wait"
"Case 2117","Task","Premium","Normal","Res8",13,"True/Wait"
"Case 2118","Task","Premium","Normal","Res3",13,"False/No-Wait"
"Case 2119","Task","Premium","Normal","Res3",13,"True/Wait"
"Case 212","Question","Gold","High","Res8",13,"False/No-Wait"
"Case 2120","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2121","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2122","Question","Gold","High","Res4",13,"False/No-Wait"
"Case 2123","Question","Gold","Normal","Res8",13,"False/No-Wait"
"Case 2124","Question","Gold","Normal","Res4",13,"False/No-Wait"
"Case 2125","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2126","Incident","Gold","Normal","Res3",14,"True/Wait"
"Case 2127","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2128","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2129","Task","Premium","Normal","Res8",14,"True/Wait"
"Case 213","Question","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2130","Question","Gold","High","Res3",14,"False/No-Wait"
"Case 2131","Task","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2132","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 2133","Incident","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2134","Task","Premium","High","Res4",14,"True/Wait"
"Case 2135","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2136","Incident","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2137","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2138","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2139","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 214","Incident","Gold","Urgent","Res4",14,"False/No-Wait"
"Case 2140","Incident","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2141","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2142","Task","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2143","Task","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2144","Question","Premium","High","Res8",14,"False/No-Wait"
"Case 2145","Task","Premium","Normal","Res8",14,"True/Wait"
"Case 2146","Question","Gold","High","Res3",14,"False/No-Wait"
"Case 2147","Question","Premium","Normal","Res8",14,"True/Wait"
"Case 2148","Question","Premium","High","Res3",14,"False/No-Wait"
"Case 2149","Question","Gold","High","Res8",14,"False/No-Wait"
"Case 215","Task","Gold","High","Res3",14,"False/No-Wait"
"Case 2150","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2151","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2152","Incident","Premium","High","Res8",14,"True/Wait"
"Case 2153","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2154","Incident","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2155","Incident","Gold","High","Res3",14,"False/No-Wait"
"Case 2156","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2157","Task","Premium","High","Res4",14,"False/No-Wait"
"Case 2158","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2159","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 216","Question","Gold","Urgent","Res4",14,"False/No-Wait"
"Case 2160","Question","Premium","High","Res8",14,"False/No-Wait"
"Case 2161","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2162","Task","Premium","High","Res4",14,"True/Wait"
"Case 2163","Task","Premium","Normal","Res8",14,"True/Wait"
"Case 2164","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2165","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2166","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2167","Task","Premium","Urgent","Res4",14,"False/No-Wait"
"Case 2168","Task","Premium","Urgent","Res4",14,"True/Wait"
"Case 2169","Task","Premium","High","Res8",14,"False/No-Wait"
"Case 217","Question","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2170","Task","Premium","High","Res4",14,"True/Wait"
"Case 2171","Task","Gold","Urgent","Res3",14,"False/No-Wait"
"Case 2172","Incident","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2173","Question","Premium","Normal","Res8",14,"True/Wait"
"Case 2174","Incident","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2175","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2176","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2177","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2178","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2179","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 218","Task","Gold","Normal","Res8",14,"True/Wait"
"Case 2180","Incident","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2181","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2182","Question","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2183","Task","Premium","Urgent","Res8",14,"True/Wait"
"Case 2184","Task","Premium","Normal","Res8",14,"True/Wait"
"Case 2185","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2186","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2187","Question","Premium","High","Res3",14,"False/No-Wait"
"Case 2188","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2189","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 219","Question","Premium","Normal","Res3",14,"True/Wait"
"Case 2190","Question","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2191","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 2192","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2193","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2194","Question","Gold","High","Res3",14,"False/No-Wait"
"Case 2195","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2196","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2197","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 2198","Question","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2199","Question","Gold","High","Res4",14,"True/Wait"
"Case 22","Task","Premium","High","Res8",14,"True/Wait"
"Case 220","Task","Gold","Normal","Res8",14,"True/Wait"
"Case 2200","Question","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2201","Task","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2202","Task","Premium","High","Res3",14,"False/No-Wait"
"Case 2203","Question","Premium","High","Res3",14,"False/No-Wait"
"Case 2204","Question","Gold","High","Res4",14,"False/No-Wait"
"Case 2205","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2206","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2207","Question","Premium","High","Res3",14,"True/Wait"
"Case 2208","Task","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2209","Task","Gold","Normal","Res3",14,"True/Wait"
"Case 221","Task","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2210","Task","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2211","Task","Premium","High","Res4",14,"True/Wait"
"Case 2212","Question","Premium","High","Res8",14,"False/No-Wait"
"Case 2213","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2214","Task","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2215","Question","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2216","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2217","Question","Gold","Normal","Res3",14,"True/Wait"
"Case 2218","Incident","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2219","Task","Premium","High","Res8",14,"True/Wait"
"Case 222","Question","Gold","High","Res3",14,"False/No-Wait"
"Case 2220","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2221","Task","Premium","High","Res4",14,"False/No-Wait"
"Case 2222","Task","Premium","High","Res3",14,"False/No-Wait"
"Case 2223","Question","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2224","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2225","Question","Gold","High","Res8",14,"False/No-Wait"
"Case 2226","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2227","Incident","Premium","High","Res4",14,"False/No-Wait"
"Case 2228","Task","Premium","High","Res3",14,"False/No-Wait"
"Case 2229","Task","Premium","Normal","Res8",14,"True/Wait"
"Case 223","Question","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2230","Question","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2231","Task","Gold","High","Res4",14,"False/No-Wait"
"Case 2232","Task","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2233","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2234","Task","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2235","Task","Premium","High","Res8",14,"False/No-Wait"
"Case 2236","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 2237","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2238","Question","Premium","High","Res4",14,"False/No-Wait"
"Case 2239","Task","Gold","Normal","Res3",14,"True/Wait"
"Case 224","Incident","Gold","Normal","Res4",14,"True/Wait"
"Case 2240","Question","Premium","Urgent","Res4",14,"False/No-Wait"
"Case 2241","Incident","Gold","Normal","Res8",14,"True/Wait"
"Case 2242","Task","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2243","Incident","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2244","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2245","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 2246","Task","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2247","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2248","Task","Gold","High","Res3",14,"False/No-Wait"
"Case 2249","Question","Gold","Normal","Res3",14,"True/Wait"
"Case 225","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2250","Task","Premium","Normal","Res8",14,"True/Wait"
"Case 2251","Incident","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2252","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2253","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2254","Question","Gold","High","Res4",14,"False/No-Wait"
"Case 2255","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2256","Question","Gold","High","Res3",14,"False/No-Wait"
"Case 2257","Task","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2258","Task","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2259","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 226","Question","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2260","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2261","Question","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2262","Question","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2263","Question","Gold","High","Res3",14,"False/No-Wait"
"Case 2264","Task","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2265","Task","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2266","Question","Gold","High","Res4",14,"False/No-Wait"
"Case 2267","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 2268","Task","Gold","High","Res3",14,"False/No-Wait"
"Case 2269","Task","Premium","Normal","Res3",14,"True/Wait"
"Case 227","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2270","Question","Gold","High","Res4",14,"False/No-Wait"
"Case 2271","Question","Gold","Normal","Res8",14,"True/Wait"
"Case 2272","Question","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2273","Task","Gold","High","Res4",14,"False/No-Wait"
"Case 2274","Task","Premium","Normal","Res3",14,"False/No-Wait"
"Case 2275","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2276","Question","Gold","High","Res3",14,"False/No-Wait"
"Case 2277","Question","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2278","Question","Premium","Normal","Res8",14,"False/No-Wait"
"Case 2279","Task","Premium","Urgent","Res8",14,"True/Wait"
"Case 228","Question","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2280","Question","Gold","High","Res8",14,"False/No-Wait"
"Case 2281","Task","Premium","High","Res8",14,"True/Wait"
"Case 2282","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2283","Question","Gold","High","Res8",14,"False/No-Wait"
"Case 2284","Question","Gold","Urgent","Res4",14,"False/No-Wait"
"Case 2285","Task","Premium","Normal","Res4",14,"True/Wait"
"Case 2286","Question","Gold","Normal","Res3",14,"False/No-Wait"
"Case 2287","Question","Premium","High","Res8",14,"True/Wait"
"Case 2288","Question","Premium","High","Res8",14,"False/No-Wait"
"Case 2289","Task","Premium","Normal","Res3",14,"False/No-Wait"
"Case 229","Question","Premium","Urgent","Res4",14,"False/No-Wait"
"Case 2290","Task","Premium","High","Res4",14,"True/Wait"
"Case 2291","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 2292","Incident","Gold","Normal","Res3",14,"True/Wait"
"Case 2293","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2294","Task","Gold","Normal","Res8",14,"True/Wait"
"Case 2295","Task","Gold","High","Res4",14,"True/Wait"
"Case 2296","Question","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2297","Incident","Gold","Normal","Res8",14,"False/No-Wait"
"Case 2298","Task","Gold","Normal","Res4",14,"False/No-Wait"
"Case 2299","Task","Premium","Normal","Res4",14,"False/No-Wait"
"Case 23","Task","Premium","Normal","Res8",14,"False/No-Wait"
"Case 230","Incident","Premium","Normal","Res8",14,"True/Wait"
"Case 2300","Task","Premium","Normal","Res4",15,"False/No-Wait"
"Case 2301","Task","Premium","Normal","Res8",15,"False/No-Wait"
"Case 2302","Task","Premium","Normal","Res3",15,"True/Wait"
"Case 2303","Incident","Premium","Normal","Res3",15,"False/No-Wait"
"Case 2304","Task","Premium","Normal","Res4",15,"True/Wait"
"Case 2305","Question","Gold","High","Res8",15,"False/No-Wait"
"Case 2306","Task","Premium","Normal","Res3",15,"True/Wait"
"Case 2307","Question","Gold","Normal","Res4",15,"False/No-Wait"
"Case 2308","Task","Premium","Normal","Res8",15,"True/Wait"
"Case 2309","Incident","Gold","Normal","Res8",15,"False/No-Wait"
"Case 231","Task","Premium","Normal","Res4",15,"False/No-Wait"
"Case 2310","Task","Premium","Normal","Res8",15,"True/Wait"
"Case 2311","Task","Premium","Normal","Res3",15,"True/Wait"
"Case 2312","Task","Gold","High","Res3",15,"False/No-Wait"
"Case 2313","Question","Premium","Normal","Res3",15,"False/No-Wait"
"Case 2314","Question","Gold","Normal","Res4",15,"False/No-Wait"
"Case 2315","Task","Premium","Normal","Res4",15,"False/No-Wait"
"Case 2316","Question","Gold","Urgent","Res3",15,"False/No-Wait"
"Case 2317","Task","Gold","Normal","Res3",15,"False/No-Wait"
"Case 2318","Task","Premium","Normal","Res4",15,"True/Wait"
"Case 2319","Task","Premium","Normal","Res3",15,"True/Wait"
"Case 232","Task","Premium","Normal","Res3",15,"True/Wait"
"Case 2320","Question","Gold","High","Res4",15,"False/No-Wait"
"Case 2321","Task","Premium","Normal","Res8",15,"False/No-Wait"
"Case 2322","Task","Premium","Normal","Res8",15,"False/No-Wait"
"Case 2323","Question","Gold","Normal","Res4",15,"False/No-Wait"
"Case 2324","Incident","Premium","Normal","Res4",15,"False/No-Wait"
"Case 2325","Question","Gold","High","Res4",15,"False/No-Wait"
"Case 2326","Task","Premium","Normal","Res3",15,"True/Wait"
"Case 2327","Task","Premium","Normal","Res4",15,"False/No-Wait"
"Case 2328","Task","Premium","Normal","Res4",15,"False/No-Wait"
"Case 2329","Incident","Gold","Normal","Res8",15,"False/No-Wait"
"Case 233","Task","Premium","Normal","Res8",15,"True/Wait"
"Case 2330","Task","Gold","Normal","Res3",15,"False/No-Wait"
"Case 2331","Question","Gold","Urgent","Res4",15,"True/Wait"
"Case 2332","Incident","Premium","High","Res4",15,"False/No-Wait"
"Case 2333","Incident","Premium","High","Res4",15,"False/No-Wait"
"Case 2334","Task","Premium","High","Res8",15,"False/No-Wait"
"Case 2335","Task","Premium","Normal","Res3",15,"True/Wait"
"Case 2336","Incident","Premium","Normal","Res4",15,"False/No-Wait"
"Case 2337","Task","Gold","High","Res4",15,"True/Wait"
"Case 2338","Task","Premium","Normal","Res4",15,"True/Wait"
"Case 2339","Task","Premium","Normal","Res4",15,"False/No-Wait"
"Case 234","Task","Gold","Normal","Res8",15,"False/No-Wait"
"Case 2340","Question","Gold","High","Res4",15,"False/No-Wait"
"Case 2341","Task","Premium","High","Res3",15,"True/Wait"
"Case 2342","Incident","Premium","Normal","Res4",15,"True/Wait"
"Case 2343","Question","Gold","Normal","Res3",15,"False/No-Wait"
"Case 2344","Question","Gold","Normal","Res8",15,"False/No-Wait"
