Case ID,Ticket type,Membership
Case 1590,Question,Premium
Case 257,Question,Gold
Case 4014,Question,Gold
Case 1935,Task,Premium
Case 3611,Question,Gold
Case 3947,Question,Premium
Case 1170,Task,Gold
Case 1285,Question,Gold
Case 1734,Task,Premium
Case 4333,Incident,Gold
Case 325,Task,Premium
Case 3695,Incident,Premium
Case 2843,Question,Premium
Case 2354,Task,Gold
Case 2703,Task,Gold
Case 1584,Question,Gold
Case 3390,Task,Premium
Case 3697,Task,Premium
Case 2393,Question,Gold
Case 2704,Question,Gold
Case 1434,Task,Premium
Case 468,Question,Premium
Case 3385,Task,Premium
Case 2589,Task,Premium
Case 4574,Question,Gold
Case 1052,Question,Gold
Case 1583,Task,Premium
Case 3252,Task,Premium
Case 869,Task,Premium
Case 4113,Task,Premium
Case 2850,Question,Gold
Case 994,Task,Premium
Case 287,Question,Gold
Case 135,Task,Premium
Case 2424,Task,Premium
Case 1431,Question,Gold
Case 1533,Task,Gold
Case 1736,Task,Gold
Case 4441,Question,Gold
Case 1078,Question,Gold
Case 121,Question,Gold
Case 149,Question,Gold
Case 3758,Incident,Gold
Case 1707,Incident,Premium
Case 1348,Question,Gold
Case 4175,Question,Gold
Case 2414,Incident,Gold
Case 37,Task,Premium
Case 2537,Question,Premium
Case 1721,Question,Gold
Case 1512,Task,Gold
Case 1265,Question,Gold
Case 1896,Incident,Gold
Case 4094,Task,Premium
Case 4070,Question,Gold
Case 1404,Incident,Gold
Case 1167,Task,Premium
Case 1740,Question,Gold
Case 4224,Question,Gold
Case 3768,Question,Premium
Case 4454,Task,Premium
Case 2373,Incident,Premium
Case 928,Task,Premium
Case 2137,Question,Gold
Case 3901,Question,Gold
Case 122,Question,Gold
Case 4302,Question,Gold
Case 2802,Question,Gold
Case 4236,Question,Gold
Case 2488,Task,Gold
Case 1883,Question,Gold
Case 1942,Question,Gold
Case 4295,Question,Premium
Case 4199,Question,Premium
Case 1986,Question,Premium
Case 579,Incident,Gold
Case 2207,Question,Premium
Case 1688,Task,Premium
Case 4382,Question,Premium
Case 2936,Task,Premium
Case 3453,Question,Premium
Case 3499,Question,Gold
Case 2311,Task,Premium
Case 3923,Task,Premium
Case 2670,Question,Gold
Case 832,Question,Gold
Case 1897,Question,Premium
Case 1227,Task,Premium
Case 2519,Task,Premium
Case 2425,Task,Premium
Case 3972,Task,Premium
Case 3250,Task,Premium
Case 3337,Task,Premium
Case 4346,Question,Gold
Case 1547,Question,Gold
Case 442,Question,Gold
Case 3810,Question,Gold
Case 3492,Question,Gold
Case 2751,Task,Gold
Case 4571,Question,Gold
Case 1834,Question,Gold
Case 2094,Question,Gold
Case 4405,Incident,Gold
Case 842,Question,Gold
Case 1724,Task,Premium
Case 956,Incident,Gold
Case 190,Task,Premium
Case 2384,Task,Premium
Case 4270,Incident,Gold
Case 2038,Question,Premium
Case 843,Task,Premium
Case 2295,Task,Gold
Case 4179,Task,Gold
Case 1511,Question,Gold
Case 2767,Task,Premium
Case 250,Question,Gold
Case 3985,Question,Gold
Case 4200,Task,Premium
Case 2480,Question,Premium
Case 667,Task,Premium
Case 3088,Task,Premium
Case 4360,Question,Gold
Case 922,Task,Premium
Case 2744,Task,Premium
Case 3005,Task,Premium
Case 4406,Question,Gold
Case 1971,Task,Premium
Case 2468,Question,Premium
Case 1031,Task,Premium
Case 2991,Question,Gold
Case 3136,Incident,Premium
Case 85,Task,Premium
Case 1767,Question,Gold
Case 4100,Incident,Premium
Case 2054,Task,Premium
Case 160,Question,Gold
Case 3914,Question,Gold
Case 1395,Task,Gold
Case 3295,Task,Premium
Case 460,Incident,Premium
Case 2149,Question,Gold
Case 4226,Question,Premium
Case 900,Question,Premium
Case 647,Question,Gold
Case 4190,Question,Gold
Case 1108,Question,Gold
Case 3873,Question,Gold
Case 3778,Task,Premium
Case 699,Task,Premium
Case 2505,Task,Premium
Case 4025,Task,Premium
Case 2459,Incident,Premium
Case 1565,Task,Premium
Case 517,Question,Premium
Case 1411,Task,Premium
Case 2213,Task,Premium
Case 3682,Question,Gold
Case 2927,Task,Premium
Case 1524,Question,Gold
Case 1744,Question,Gold
Case 3063,Question,Gold
Case 2077,Question,Gold
Case 3717,Task,Gold
Case 4192,Question,Gold
Case 1291,Incident,Gold
Case 500,Task,Premium
Case 3524,Question,Gold
Case 3219,Incident,Gold
Case 1206,Question,Premium
Case 4434,Question,Premium
Case 4176,Task,Premium
Case 1189,Incident,Premium
Case 1182,Question,Gold
Case 217,Question,Premium
Case 206,Question,Premium
Case 4163,Question,Gold
Case 4404,Task,Premium
Case 802,Question,Gold
Case 1727,Incident,Premium
Case 118,Question,Gold
Case 646,Task,Premium
Case 1456,Task,Premium
Case 3131,Question,Premium
Case 1263,Question,Gold
Case 1302,Task,Premium
Case 3648,Question,Gold
Case 2361,Question,Premium
Case 3994,Task,Gold
Case 1846,Question,Premium
Case 1228,Incident,Gold
Case 3966,Question,Gold
Case 4171,Question,Premium
Case 4391,Question,Gold
Case 3960,Task,Premium
Case 2951,Task,Premium
Case 449,Question,Gold
Case 264,Incident,Premium
Case 3824,Incident,Premium
Case 584,Task,Premium
Case 443,Incident,Gold
Case 3836,Question,Gold
Case 1089,Incident,Premium
Case 1614,Question,Gold
Case 4280,Incident,Gold
Case 2887,Task,Premium
Case 3194,Question,Gold
Case 2679,Task,Premium
Case 3685,Task,Premium
Case 3833,Question,Gold
Case 658,Question,Gold
Case 1286,Question,Gold
Case 993,Task,Premium
Case 2275,Question,Gold
Case 1820,Task,Premium
Case 1214,Question,Gold
Case 426,Task,Premium
Case 3500,Task,Premium
Case 1861,Incident,Premium
Case 904,Question,Premium
Case 3570,Question,Gold
Case 3100,Task,Premium
Case 3270,Task,Premium
Case 1025,Task,Premium
Case 3855,Question,Gold
Case 1969,Incident,Gold
Case 597,Task,Gold
Case 3575,Question,Gold
Case 2263,Question,Gold
Case 476,Task,Premium
Case 636,Task,Premium
Case 3277,Question,Gold
Case 2312,Task,Gold
Case 3396,Question,Gold
Case 822,Question,Gold
Case 489,Question,Gold
Case 3055,Task,Premium
Case 3915,Incident,Gold
Case 2660,Incident,Gold
Case 2209,Task,Gold
Case 2269,Task,Premium
Case 3748,Incident,Premium
Case 2707,Incident,Premium
Case 218,Task,Gold
Case 518,Incident,Premium
Case 4399,Question,Gold
Case 4318,Question,Premium
Case 789,Incident,Gold
Case 4432,Question,Gold
Case 2701,Question,Gold
Case 494,Question,Gold
Case 513,Question,Premium
Case 2265,Task,Premium
Case 3451,Question,Gold
Case 1479,Question,Gold
Case 26,Question,Gold
Case 2587,Question,Gold
Case 3455,Question,Gold
Case 1997,Question,Gold
Case 1926,Question,Gold
Case 3304,Task,Premium
Case 3414,Question,Gold
Case 3919,Question,Gold
Case 2305,Question,Gold
Case 848,Question,Premium
Case 619,Task,Premium
Case 2926,Question,Gold
Case 270,Task,Premium
Case 1252,Task,Premium
Case 3379,Task,Premium
Case 3720,Task,Gold
Case 2682,Question,Gold
Case 2894,Task,Premium
Case 4274,Task,Premium
Case 3429,Task,Gold
Case 1146,Question,Gold
Case 605,Question,Gold
Case 2352,Incident,Gold
Case 1178,Incident,Gold
Case 2754,Incident,Gold
Case 3838,Question,Gold
Case 1635,Question,Gold
Case 3655,Incident,Premium
Case 692,Question,Gold
Case 1270,Question,Premium
Case 1668,Question,Premium
Case 3051,Incident,Premium
Case 60,Task,Premium
Case 2332,Incident,Premium
Case 2890,Question,Premium
Case 1514,Task,Premium
Case 4044,Task,Premium
Case 828,Task,Premium
Case 3152,Task,Premium
Case 3578,Task,Premium
Case 116,Question,Gold
Case 4380,Task,Premium
Case 226,Question,Premium
Case 1476,Task,Premium
Case 1452,Question,Gold
Case 1943,Incident,Premium
Case 908,Task,Gold
Case 3278,Question,Gold
Case 1016,Question,Gold
Case 3402,Question,Gold
Case 4349,Question,Premium
Case 475,Question,Gold
Case 1612,Question,Gold
Case 1345,Task,Premium
Case 4109,Question,Gold
Case 1160,Question,Gold
Case 4021,Question,Gold
Case 314,Question,Gold
Case 1545,Question,Gold
Case 2379,Task,Premium
Case 2185,Incident,Gold
Case 536,Task,Gold
Case 3274,Task,Premium
Case 2632,Question,Gold
Case 2284,Question,Gold
Case 4330,Task,Premium
Case 64,Task,Premium
Case 1804,Incident,Premium
Case 1470,Question,Premium
Case 3823,Task,Premium
Case 2162,Task,Premium
Case 4273,Task,Premium
Case 2699,Task,Gold
Case 1209,Incident,Gold
Case 2218,Incident,Gold
Case 534,Question,Gold
Case 4252,Task,Premium
Case 3104,Task,Premium
Case 4502,Question,Gold
Case 2567,Task,Premium
Case 3227,Question,Gold
Case 580,Question,Premium
Case 2217,Question,Gold
Case 4521,Question,Gold
Case 2597,Question,Gold
Case 134,Question,Gold
Case 2941,Task,Gold
Case 249,Question,Gold
Case 3155,Incident,Gold
Case 3065,Question,Gold
Case 3195,Question,Gold
Case 3812,Task,Premium
Case 944,Task,Premium
Case 942,Question,Premium
Case 1324,Question,Premium
Case 3744,Task,Premium
Case 3577,Question,Gold
Case 3534,Task,Premium
Case 1877,Question,Gold
Case 3872,Question,Gold
Case 2182,Question,Gold
Case 1306,Incident,Gold
Case 1692,Task,Premium
Case 4529,Question,Premium
Case 1436,Task,Premium
Case 3959,Task,Premium
Case 3579,Incident,Premium
Case 1667,Question,Gold
Case 818,Question,Gold
Case 1638,Incident,Gold
Case 4453,Question,Gold
Case 3355,Task,Gold
Case 2710,Task,Premium
Case 2075,Incident,Premium
Case 3681,Task,Premium
Case 32,Question,Gold
Case 1951,Question,Premium
Case 2715,Question,Gold
Case 4184,Incident,Gold
Case 1940,Incident,Premium
Case 1288,Incident,Premium
Case 4414,Task,Gold
Case 812,Question,Gold
Case 2896,Question,Gold
Case 2610,Incident,Premium
Case 1865,Task,Premium
Case 3370,Task,Premium
Case 3924,Incident,Premium
Case 4490,Question,Premium
Case 2950,Question,Premium
Case 1243,Question,Gold
Case 2069,Task,Premium
Case 198,Task,Gold
Case 1648,Question,Gold
Case 577,Task,Premium
Case 1651,Question,Premium
Case 334,Task,Gold
Case 3906,Question,Gold
Case 4063,Question,Gold
Case 2895,Question,Gold
Case 1838,Question,Gold
Case 4174,Task,Gold
Case 1933,Question,Gold
Case 1616,Incident,Gold
Case 3908,Task,Premium
Case 2900,Incident,Gold
Case 2822,Question,Gold
Case 3526,Task,Premium
Case 3216,Incident,Premium
Case 1264,Question,Premium
Case 3164,Task,Premium
Case 2189,Question,Gold
Case 4381,Task,Premium
Case 1361,Question,Gold
Case 1207,Task,Premium
Case 1845,Question,Gold
Case 267,Question,Gold
Case 730,Task,Gold
Case 123,Task,Gold
Case 3996,Question,Gold
Case 2376,Task,Gold
Case 2902,Task,Premium
Case 2122,Question,Gold
Case 4246,Incident,Gold
Case 2557,Question,Gold
Case 4256,Question,Gold
Case 649,Question,Gold
Case 3138,Task,Premium
Case 386,Question,Premium
Case 1672,Question,Gold
Case 4569,Task,Premium
Case 571,Task,Premium
Case 3000,Question,Gold
Case 4164,Question,Premium
Case 2082,Task,Premium
Case 3054,Question,Premium
Case 2781,Question,Gold
Case 2471,Incident,Premium
Case 675,Task,Premium
Case 99,Task,Premium
Case 2657,Incident,Gold
Case 4281,Question,Premium
Case 1241,Question,Premium
Case 1050,Task,Premium
Case 2588,Question,Gold
Case 711,Task,Premium
Case 3509,Task,Premium
Case 991,Task,Premium
Case 2692,Question,Gold
Case 2019,Task,Premium
Case 946,Task,Gold
Case 3920,Task,Premium
Case 548,Question,Premium
Case 445,Question,Gold
Case 1390,Task,Premium
Case 936,Question,Gold
Case 2287,Question,Premium
Case 1841,Question,Premium
Case 227,Incident,Gold
Case 2935,Question,Gold
Case 4401,Question,Gold
Case 4057,Question,Gold
Case 563,Task,Gold
Case 3286,Task,Premium
Case 2655,Question,Premium
Case 2015,Question,Gold
Case 1174,Question,Gold
Case 150,Task,Gold
Case 4435,Question,Gold
Case 1071,Task,Gold
Case 539,Question,Gold
Case 2924,Question,Gold
Case 3538,Task,Premium
Case 659,Question,Gold
Case 1937,Task,Premium
Case 3388,Task,Premium
Case 3036,Task,Premium
Case 1867,Task,Premium
Case 2065,Question,Premium
Case 1212,Question,Gold
Case 3749,Task,Premium
Case 1575,Task,Premium
Case 4503,Question,Premium
Case 3280,Incident,Gold
Case 2646,Question,Premium
Case 2685,Question,Gold
Case 4261,Task,Premium
Case 2003,Task,Premium
Case 3333,Task,Gold
Case 3125,Question,Premium
Case 4020,Question,Gold
Case 3049,Task,Premium
Case 157,Task,Premium
Case 471,Incident,Gold
Case 3124,Question,Gold
Case 91,Incident,Gold
Case 4035,Question,Premium
Case 3445,Incident,Gold
Case 854,Question,Gold
Case 2470,Task,Premium
Case 995,Incident,Premium
Case 3392,Question,Gold
Case 1114,Task,Premium
Case 47,Question,Premium
Case 3598,Question,Premium
Case 1502,Task,Premium
Case 3881,Task,Gold
Case 4519,Task,Premium
Case 1455,Question,Gold
Case 740,Question,Gold
Case 1119,Incident,Gold
Case 2944,Task,Premium
Case 3649,Question,Gold
Case 4253,Task,Gold
Case 2942,Question,Gold
Case 4209,Question,Gold
Case 729,Task,Premium
Case 4040,Task,Premium
Case 4504,Incident,Gold
Case 820,Task,Premium
Case 2736,Incident,Premium
Case 4186,Task,Premium
Case 2231,Task,Gold
Case 1413,Question,Gold
Case 2731,Question,Gold
Case 3489,Question,Premium
Case 1819,Question,Gold
Case 1693,Task,Premium
Case 1911,Question,Gold
Case 797,Incident,Gold
Case 748,Task,Premium
Case 2495,Task,Gold
Case 3848,Task,Premium
Case 3982,Task,Premium
Case 2675,Task,Gold
Case 1624,Question,Gold
Case 70,Task,Premium
Case 2146,Question,Gold
Case 891,Question,Gold
Case 440,Question,Gold
Case 2867,Task,Premium
Case 4458,Question,Premium
Case 2341,Task,Premium
Case 2694,Question,Gold
Case 2884,Question,Gold
Case 1200,Incident,Gold
Case 564,Task,Premium
Case 310,Task,Premium
Case 4483,Question,Gold
Case 3003,Question,Gold
Case 2018,Incident,Premium
Case 1205,Question,Gold
Case 2651,Question,Gold
Case 1991,Question,Gold
Case 2923,Question,Gold
Case 2333,Incident,Premium
Case 607,Incident,Premium
Case 2190,Question,Gold
Case 678,Question,Premium
Case 3174,Question,Gold
Case 2442,Incident,Premium
Case 2869,Task,Premium
Case 2364,Incident,Gold
Case 3450,Task,Premium
Case 2281,Task,Premium
Case 3926,Task,Premium
Case 3843,Question,Gold
Case 2808,Task,Premium
Case 42,Question,Gold
Case 4516,Question,Gold
Case 3488,Question,Gold
Case 1763,Question,Gold
Case 1827,Incident,Gold
Case 3826,Question,Gold
Case 1168,Task,Premium
Case 1312,Question,Gold
Case 3039,Question,Premium
Case 2147,Question,Premium
Case 4152,Task,Premium
Case 1541,Task,Gold
Case 3033,Question,Gold
Case 1061,Task,Premium
Case 1516,Task,Premium
Case 1496,Task,Premium
Case 1539,Incident,Gold
Case 3533,Question,Premium
Case 207,Task,Premium
Case 1069,Question,Gold
Case 2161,Question,Gold
Case 1611,Question,Gold
Case 429,Task,Premium
Case 3988,Question,Gold
Case 3610,Question,Gold
Case 2110,Question,Gold
Case 2402,Incident,Premium
Case 3941,Question,Gold
Case 368,Task,Premium
Case 3687,Task,Premium
Case 3235,Question,Gold
Case 1629,Question,Gold
Case 1158,Task,Premium
Case 3346,Task,Premium
Case 1932,Incident,Gold
Case 3400,Incident,Gold
Case 598,Incident,Gold
Case 4219,Task,Premium
Case 2506,Task,Premium
Case 1492,Incident,Premium
Case 1045,Task,Gold
Case 1934,Task,Premium
Case 3958,Task,Premium
Case 751,Question,Premium
Case 2861,Task,Premium
Case 4450,Incident,Gold
Case 2645,Question,Gold
Case 2553,Question,Gold
Case 2853,Task,Premium
Case 671,Question,Gold
Case 1339,Task,Premium
Case 2360,Task,Gold
Case 4467,Task,Premium
Case 4081,Question,Gold
Case 1816,Question,Premium
Case 2594,Incident,Gold
Case 389,Question,Gold
Case 1936,Task,Premium
Case 1540,Task,Gold
Case 2151,Question,Gold
Case 2041,Incident,Premium
Case 635,Question,Gold
Case 36,Question,Gold
Case 2294,Task,Gold
Case 2783,Question,Premium
Case 2574,Task,Premium
Case 688,Task,Gold
Case 4363,Question,Gold
Case 569,Task,Gold
Case 4134,Question,Gold
Case 281,Task,Premium
Case 1053,Task,Premium
Case 4350,Task,Premium
Case 465,Task,Premium
Case 2882,Incident,Premium
Case 485,Incident,Premium
Case 3650,Task,Premium
Case 2204,Question,Gold
Case 1659,Task,Gold
Case 2010,Task,Premium
Case 4218,Question,Gold
Case 4049,Question,Premium
Case 4091,Question,Gold
Case 3210,Question,Gold
Case 916,Question,Gold
Case 2316,Question,Gold
Case 3423,Task,Premium
Case 14,Incident,Gold
Case 1837,Incident,Gold
Case 1895,Incident,Gold
Case 1578,Question,Gold
Case 4536,Question,Gold
Case 957,Question,Gold
Case 960,Incident,Gold
Case 4495,Question,Gold
Case 1530,Incident,Premium
Case 3605,Incident,Premium
Case 3609,Question,Gold
Case 1372,Incident,Premium
Case 2056,Question,Gold
Case 1556,Question,Gold
Case 3494,Task,Gold
Case 1098,Incident,Premium
Case 4213,Incident,Premium
Case 451,Question,Gold
Case 1729,Task,Premium
Case 3711,Question,Gold
Case 490,Question,Gold
Case 1862,Question,Gold
Case 3702,Question,Premium
Case 2994,Question,Gold
Case 1341,Question,Gold
Case 4565,Question,Gold
Case 4443,Question,Gold
Case 3816,Task,Premium
Case 369,Question,Gold
Case 3602,Question,Gold
Case 3710,Task,Premium
Case 1024,Task,Gold
Case 2755,Question,Gold
Case 1047,Task,Premium
Case 2868,Question,Gold
Case 4438,Incident,Gold
Case 4464,Question,Gold
Case 239,Task,Premium
Case 1833,Question,Gold
Case 1775,Question,Gold
Case 3627,Question,Gold
Case 697,Question,Gold
Case 1430,Task,Premium
Case 3076,Task,Premium
Case 2091,Task,Premium
Case 2735,Task,Premium
Case 2811,Question,Gold
Case 4474,Question,Gold
Case 1435,Question,Gold
Case 3191,Task,Premium
Case 2450,Question,Gold
Case 213,Question,Premium
Case 905,Question,Gold
Case 1685,Task,Premium
Case 2407,Task,Premium
Case 1748,Question,Premium
Case 941,Task,Premium
Case 1756,Task,Gold
Case 1606,Task,Premium
Case 1234,Task,Gold
Case 4002,Question,Premium
Case 225,Incident,Gold
Case 3099,Incident,Gold
Case 2827,Task,Premium
Case 3790,Task,Premium
Case 220,Task,Gold
Case 3110,Incident,Premium
Case 2351,Question,Gold
Case 1945,Task,Premium
Case 2722,Task,Gold
Case 1793,Question,Gold
Case 823,Task,Premium
Case 1529,Question,Gold
Case 240,Incident,Gold
Case 2345,Task,Premium
Case 4148,Task,Premium
Case 4011,Task,Premium
Case 3220,Task,Premium
Case 3921,Question,Gold
Case 567,Incident,Gold
Case 1342,Task,Premium
Case 2238,Question,Premium
Case 2809,Task,Gold
Case 2343,Question,Gold
Case 347,Task,Premium
Case 847,Question,Gold
Case 3137,Incident,Gold
Case 3796,Task,Premium
Case 2212,Question,Premium
Case 1568,Question,Gold
Case 3617,Question,Gold
Case 4089,Task,Premium
Case 2401,Question,Gold
Case 4123,Task,Gold
Case 2782,Task,Premium
Case 3476,Incident,Gold
Case 4322,Question,Gold
Case 1546,Task,Premium
Case 3574,Question,Gold
Case 1225,Incident,Premium
Case 3090,Question,Gold
Case 354,Incident,Gold
Case 4117,Incident,Gold
Case 1380,Task,Premium
Case 3936,Question,Gold
Case 1379,Question,Gold
Case 2463,Task,Gold
Case 1917,Question,Gold
Case 137,Task,Premium
Case 3224,Question,Gold
Case 2510,Task,Gold
Case 3606,Task,Premium
Case 1490,Question,Gold
Case 3831,Question,Gold
Case 1369,Incident,Premium
Case 4178,Task,Premium
Case 3549,Question,Premium
Case 761,Task,Premium
Case 3246,Question,Premium
Case 3952,Task,Premium
Case 2945,Incident,Gold
Case 1643,Task,Premium
Case 1738,Incident,Premium
Case 2040,Task,Premium
Case 2640,Question,Gold
Case 201,Question,Gold
Case 3931,Question,Gold
Case 4517,Question,Gold
Case 1082,Question,Premium
Case 3694,Question,Gold
Case 712,Question,Gold
Case 2396,Task,Gold
Case 4231,Question,Gold
Case 1065,Incident,Premium
Case 3851,Task,Premium
Case 568,Question,Gold
Case 4137,Question,Gold
Case 1956,Question,Premium
Case 1560,Question,Gold
Case 655,Question,Gold
Case 4103,Question,Gold
Case 550,Question,Gold
Case 3048,Task,Premium
Case 784,Incident,Premium
Case 409,Question,Gold
Case 1939,Incident,Gold
Case 1378,Task,Gold
Case 171,Question,Premium
Case 3587,Question,Premium
Case 1607,Task,Gold
Case 2818,Question,Gold
Case 3795,Question,Gold
Case 2955,Question,Premium
Case 744,Task,Premium
Case 3540,Question,Gold
Case 2166,Question,Gold
Case 1647,Question,Premium
Case 1700,Question,Gold
Case 4479,Question,Premium
Case 481,Question,Premium
Case 615,Question,Premium
Case 4291,Question,Gold
Case 4341,Task,Premium
Case 516,Task,Gold
Case 1060,Question,Premium
Case 4481,Task,Premium
Case 1463,Question,Premium
Case 2430,Incident,Premium
Case 3557,Task,Premium
Case 3942,Incident,Premium
Case 1118,Task,Gold
Case 4447,Task,Premium
Case 874,Task,Premium
Case 3568,Task,Premium
Case 1011,Question,Gold
Case 2775,Task,Gold
Case 2246,Task,Premium
Case 1203,Task,Gold
Case 2099,Incident,Gold
Case 855,Task,Premium
Case 3053,Task,Premium
Case 4287,Task,Premium
Case 2916,Task,Premium
Case 4534,Question,Gold
Case 2334,Task,Premium
Case 1970,Question,Gold
Case 2545,Question,Gold
Case 3412,Question,Gold
Case 2963,Task,Premium
Case 719,Task,Gold
Case 4058,Task,Premium
Case 2031,Task,Premium
Case 2127,Incident,Gold
Case 4005,Task,Premium
Case 1408,Question,Premium
Case 3202,Question,Premium
Case 2769,Question,Gold
Case 3257,Task,Premium
Case 3420,Incident,Premium
Case 1157,Task,Premium
Case 3612,Question,Gold
Case 2653,Task,Premium
Case 391,Incident,Gold
Case 4308,Question,Gold
Case 1294,Question,Premium
Case 637,Question,Premium
Case 1525,Question,Gold
Case 61,Question,Gold
Case 4509,Question,Gold
Case 2708,Question,Gold
Case 4568,Task,Gold
Case 3903,Task,Premium
Case 1337,Task,Gold
Case 3895,Task,Gold
Case 3431,Question,Gold
Case 2324,Incident,Premium
Case 3929,Question,Gold
Case 2406,Question,Gold
Case 3984,Task,Premium
Case 2064,Task,Premium
Case 488,Incident,Gold
Case 1661,Incident,Gold
Case 2179,Task,Premium
Case 2608,Incident,Premium
Case 3668,Question,Premium
Case 2055,Question,Premium
Case 3791,Question,Gold
Case 3576,Question,Gold
Case 1004,Incident,Premium
Case 159,Task,Gold
Case 3047,Question,Gold
Case 4228,Task,Premium
Case 413,Task,Premium
Case 4085,Question,Gold
Case 1458,Question,Gold
Case 2762,Incident,Premium
Case 4368,Task,Gold
Case 3987,Question,Gold
Case 2526,Task,Gold
Case 668,Question,Premium
Case 2009,Question,Gold
Case 2017,Question,Premium
Case 578,Task,Premium
Case 400,Question,Gold
Case 4494,Question,Premium
Case 2154,Incident,Premium
Case 1712,Incident,Gold
Case 2724,Task,Premium
Case 4436,Question,Premium
Case 816,Question,Premium
Case 3042,Question,Gold
Case 95,Task,Premium
Case 486,Question,Gold
Case 1656,Incident,Gold
Case 4323,Task,Premium
Case 1095,Incident,Gold
Case 542,Question,Gold
Case 1921,Task,Premium
Case 3934,Incident,Gold
Case 945,Incident,Gold
Case 2427,Question,Gold
Case 1639,Question,Gold
Case 1222,Incident,Premium
Case 4294,Incident,Gold
Case 2278,Question,Premium
Case 887,Question,Premium
Case 2198,Question,Premium
Case 4471,Question,Premium
Case 739,Question,Gold
Case 3435,Question,Gold
Case 3651,Question,Gold
Case 2260,Question,Gold
Case 737,Task,Premium
Case 2601,Question,Gold
Case 902,Question,Gold
Case 3729,Question,Gold
Case 1644,Question,Gold
Case 2420,Question,Premium
Case 3057,Question,Gold
Case 4476,Question,Gold
Case 181,Task,Gold
Case 1913,Question,Gold
Case 3301,Incident,Gold
Case 432,Question,Premium
Case 3512,Task,Premium
Case 2251,Incident,Gold
Case 4139,Question,Premium
Case 896,Task,Premium
Case 3767,Incident,Gold
Case 2768,Question,Gold
Case 955,Question,Gold
Case 1481,Question,Premium
Case 2773,Incident,Gold
Case 3803,Question,Premium
Case 3559,Question,Premium
Case 867,Question,Gold
Case 2264,Task,Gold
Case 4445,Question,Gold
Case 2327,Task,Premium
Case 1715,Question,Gold
Case 3169,Question,Gold
Case 2990,Task,Gold
Case 162,Task,Gold
Case 459,Task,Premium
Case 1186,Task,Gold
Case 763,Question,Premium
Case 4549,Task,Premium
Case 2178,Question,Gold
Case 4362,Question,Gold
Case 978,Question,Gold
Case 304,Question,Gold
Case 1429,Question,Premium
Case 112,Incident,Gold
Case 4126,Task,Premium
Case 2120,Question,Gold
Case 3721,Task,Premium
Case 512,Incident,Premium
Case 180,Question,Gold
Case 4239,Question,Premium
Case 1796,Task,Premium
Case 1480,Incident,Premium
Case 2434,Incident,Premium
Case 2621,Task,Premium
Case 3380,Question,Gold
Case 464,Incident,Premium
Case 2523,Task,Gold
Case 2076,Incident,Gold
Case 1517,Incident,Gold
Case 279,Question,Gold
Case 2133,Incident,Gold
Case 947,Task,Premium
Case 3207,Incident,Gold
Case 927,Question,Gold
Case 3347,Incident,Premium
Case 4347,Question,Premium
Case 3719,Question,Gold
Case 1905,Question,Gold
Case 2270,Question,Gold
Case 1260,Question,Premium
Case 2763,Question,Gold
Case 726,Task,Gold
Case 4377,Task,Gold
Case 4144,Question,Gold
Case 2052,Task,Premium
Case 969,Question,Premium
Case 3671,Question,Gold
Case 3032,Question,Gold
Case 4518,Task,Premium
Case 1855,Question,Gold
Case 2135,Task,Premium
Case 2749,Task,Premium
Case 3120,Question,Gold
Case 3875,Task,Premium
Case 810,Incident,Gold
Case 3267,Question,Gold
Case 2111,Task,Premium
Case 1107,Task,Gold
Case 2785,Question,Premium
Case 2517,Incident,Premium
Case 2456,Question,Gold
Case 3029,Question,Gold
Case 1522,Question,Gold
Case 3162,Task,Gold
Case 3329,Question,Gold
Case 2306,Task,Premium
Case 17,Task,Gold
Case 4080,Question,Gold
Case 2378,Task,Premium
Case 1677,Question,Gold
Case 1966,Task,Premium
Case 863,Question,Premium
Case 1958,Question,Gold
Case 2947,Question,Premium
Case 3962,Question,Gold
Case 4437,Question,Gold
Case 3502,Question,Premium
Case 1453,Question,Gold
Case 2997,Question,Premium
Case 2109,Question,Gold
Case 604,Question,Gold
Case 3755,Question,Gold
Case 1637,Incident,Premium
Case 2825,Task,Premium
Case 3932,Question,Gold
Case 3544,Incident,Premium
Case 3743,Question,Gold
Case 1840,Incident,Gold
Case 1105,Incident,Gold
Case 3072,Question,Gold
Case 1839,Task,Premium
Case 1818,Question,Gold
Case 2972,Question,Gold
Case 4210,Question,Gold
Case 515,Question,Gold
Case 2696,Question,Gold
Case 714,Question,Gold
Case 3487,Question,Gold
Case 3515,Task,Gold
Case 3672,Question,Gold
Case 4265,Question,Premium
Case 4320,Question,Premium
Case 1392,Task,Premium
Case 2793,Question,Premium
Case 3181,Incident,Premium
Case 3471,Incident,Premium
Case 3969,Task,Premium
Case 2195,Question,Gold
Case 1600,Question,Gold
Case 3018,Question,Premium
Case 1326,Task,Premium
Case 1037,Question,Gold
Case 174,Task,Premium
Case 3271,Task,Premium
Case 3830,Task,Premium
Case 1149,Question,Gold
Case 2353,Question,Gold
Case 3691,Task,Premium
Case 1008,Task,Gold
Case 6,Question,Gold
Case 3839,Task,Premium
Case 1731,Question,Gold
Case 1666,Incident,Premium
Case 860,Incident,Premium
Case 4114,Task,Premium
Case 1117,Question,Premium
Case 55,Task,Premium
Case 3014,Incident,Gold
Case 3070,Task,Premium
Case 3026,Task,Premium
Case 4018,Question,Premium
Case 3397,Question,Gold
