CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,Performance class
"Case 206","Question","Premium","Normal","Medium"
"Case 2060","Question","Gold","Normal","Short"
"Case 2061","Question","Gold","High","Long"
"Case 2062","Task","Premium","Normal","Long"
"Case 2063","Question","Gold","Normal","Short"
"Case 2064","Task","Premium","High","Short"
"Case 2065","Question","Premium","Normal","Long"
"Case 2066","Question","Gold","Normal","Short"
"Case 2067","Task","Premium","Normal","Medium"
"Case 2068","Question","Premium","Urgent","Medium"
"Case 2069","Task","Premium","Normal","Medium"
"Case 207","Task","Premium","Normal","Medium"
"Case 2070","Task","Premium","Normal","Medium"
"Case 2071","Task","Premium","Normal","Long"
"Case 2072","Incident","Gold","Normal","Short"
"Case 2073","Task","Premium","Normal","Medium"
"Case 2074","Incident","Gold","Normal","Medium"
"Case 2075","Incident","Premium","Normal","Medium"
"Case 2076","Incident","Gold","High","Medium"
"Case 2077","Question","Gold","Normal","Short"
"Case 2078","Task","Premium","High","Long"
"Case 2079","Incident","Premium","High","Long"
"Case 208","Question","Gold","High","Long"
"Case 2080","Task","Premium","Normal","Long"
"Case 2081","Task","Premium","Normal","Long"
"Case 2082","Task","Premium","Normal","Long"
"Case 2083","Incident","Premium","Normal","Long"
"Case 2084","Incident","Gold","Normal","Short"
"Case 2085","Question","Gold","Normal","Short"
"Case 2086","Incident","Gold","High","Long"
"Case 2087","Task","Premium","Normal","Medium"
"Case 2088","Task","Premium","Normal","Long"
"Case 2089","Incident","Gold","Normal","Long"
"Case 209","Question","Gold","Normal","Medium"
"Case 2090","Task","Premium","Normal","Long"
"Case 2091","Task","Premium","Normal","Long"
"Case 2092","Task","Premium","Normal","Medium"
"Case 2093","Question","Premium","Normal","Short"
"Case 2094","Question","Gold","Normal","Long"
"Case 2095","Question","Gold","Normal","Long"
"Case 2096","Task","Gold","High","Long"
"Case 2097","Task","Premium","Urgent","Medium"
"Case 2098","Task","Premium","Normal","Medium"
"Case 2099","Incident","Gold","Normal","Medium"
"Case 21","Incident","Gold","Normal","Medium"
"Case 210","Task","Gold","High","Medium"
"Case 2100","Question","Gold","High","Short"
"Case 2101","Task","Premium","Normal","Short"
"Case 2102","Task","Premium","Normal","Medium"
"Case 2103","Question","Premium","Normal","Long"
"Case 2104","Task","Premium","Normal","Medium"
"Case 2105","Task","Premium","Normal","Medium"
"Case 2106","Question","Gold","Normal","Short"
"Case 2107","Question","Gold","High","Medium"
"Case 2108","Task","Premium","Urgent","Medium"
"Case 2109","Question","Gold","High","Medium"
"Case 211","Question","Gold","High","Medium"
"Case 2110","Question","Gold","Urgent","Medium"
"Case 2111","Task","Premium","Normal","Short"
"Case 2112","Task","Premium","High","Short"
"Case 2113","Question","Gold","Normal","Long"
"Case 2114","Task","Premium","Normal","Long"
"Case 2115","Task","Gold","Normal","Long"
"Case 2116","Question","Gold","Normal","Short"
"Case 2117","Task","Premium","Normal","Medium"
"Case 2118","Task","Premium","Normal","Medium"
"Case 2119","Task","Premium","Normal","Long"
"Case 212","Question","Gold","High","Long"
"Case 2120","Question","Gold","Normal","Short"
"Case 2121","Question","Gold","Normal","Short"
"Case 2122","Question","Gold","High","Short"
"Case 2123","Question","Gold","Normal","Short"
"Case 2124","Question","Gold","Normal","Medium"
"Case 2125","Task","Premium","Normal","Long"
"Case 2126","Incident","Gold","Normal","Medium"
"Case 2127","Incident","Gold","Normal","Short"
"Case 2128","Task","Premium","Normal","Short"
"Case 2129","Task","Premium","Normal","Long"
"Case 213","Question","Premium","Normal","Short"
"Case 2130","Question","Gold","High","Medium"
"Case 2131","Task","Gold","Normal","Long"
"Case 2132","Task","Premium","Normal","Medium"
"Case 2133","Incident","Gold","Normal","Long"
"Case 2134","Task","Premium","High","Medium"
"Case 2135","Task","Premium","Normal","Medium"
"Case 2136","Incident","Premium","Normal","Medium"
"Case 2137","Question","Gold","Normal","Long"
"Case 2138","Incident","Gold","Normal","Medium"
"Case 2139","Task","Premium","Normal","Long"
"Case 214","Incident","Gold","Urgent","Short"
"Case 2140","Incident","Premium","Normal","Medium"
"Case 2141","Task","Premium","Normal","Medium"
"Case 2142","Task","Gold","Normal","Short"
"Case 2143","Task","Premium","Normal","Long"
"Case 2144","Question","Premium","High","Long"
"Case 2145","Task","Premium","Normal","Medium"
"Case 2146","Question","Gold","High","Short"
"Case 2147","Question","Premium","Normal","Medium"
"Case 2148","Question","Premium","High","Long"
"Case 2149","Question","Gold","High","Medium"
"Case 215","Task","Gold","High","Medium"
"Case 2150","Question","Gold","Normal","Short"
"Case 2151","Question","Gold","Normal","Long"
"Case 2152","Incident","Premium","High","Short"
"Case 2153","Task","Premium","Normal","Short"
"Case 2154","Incident","Premium","Normal","Short"
"Case 2155","Incident","Gold","High","Medium"
"Case 2156","Task","Premium","Normal","Long"
"Case 2157","Task","Premium","High","Medium"
"Case 2158","Question","Gold","Normal","Long"
"Case 2159","Incident","Gold","Normal","Long"
"Case 216","Question","Gold","Urgent","Medium"
"Case 2160","Question","Premium","High","Short"
"Case 2161","Question","Gold","Normal","Short"
"Case 2162","Task","Premium","High","Long"
"Case 2163","Task","Premium","Normal","Medium"
"Case 2164","Task","Premium","Normal","Short"
"Case 2165","Question","Gold","Normal","Short"
"Case 2166","Question","Gold","Normal","Long"
"Case 2167","Task","Premium","Urgent","Medium"
"Case 2168","Task","Premium","Urgent","Short"
"Case 2169","Task","Premium","High","Medium"
"Case 217","Question","Premium","Normal","Medium"
"Case 2170","Task","Premium","High","Short"
"Case 2171","Task","Gold","Urgent","Short"
"Case 2172","Incident","Premium","Normal","Long"
"Case 2173","Question","Premium","Normal","Medium"
"Case 2174","Incident","Gold","Normal","Long"
"Case 2175","Task","Premium","Normal","Long"
"Case 2176","Task","Premium","Normal","Long"
"Case 2177","Task","Premium","Normal","Long"
"Case 2178","Question","Gold","Normal","Short"
"Case 2179","Task","Premium","Normal","Long"
"Case 218","Task","Gold","Normal","Short"
"Case 2180","Incident","Gold","Normal","Long"
"Case 2181","Question","Gold","Normal","Medium"
"Case 2182","Question","Gold","Normal","Long"
"Case 2183","Task","Premium","Urgent","Medium"
"Case 2184","Task","Premium","Normal","Medium"
"Case 2185","Incident","Gold","Normal","Medium"
"Case 2186","Question","Gold","Normal","Long"
"Case 2187","Question","Premium","High","Medium"
"Case 2188","Question","Gold","Normal","Short"
"Case 2189","Question","Gold","Normal","Long"
"Case 219","Question","Premium","Normal","Medium"
"Case 2190","Question","Gold","Normal","Short"
"Case 2191","Task","Premium","Normal","Long"
"Case 2192","Question","Gold","Normal","Medium"
"Case 2193","Incident","Gold","Normal","Long"
"Case 2194","Question","Gold","High","Medium"
"Case 2195","Question","Gold","Normal","Long"
"Case 2196","Question","Gold","Normal","Short"
"Case 2197","Task","Premium","Normal","Long"
"Case 2198","Question","Premium","Normal","Long"
"Case 2199","Question","Gold","High","Short"
"Case 22","Task","Premium","High","Long"
"Case 220","Task","Gold","Normal","Long"
"Case 2200","Question","Gold","Normal","Long"
"Case 2201","Task","Premium","Normal","Short"
"Case 2202","Task","Premium","High","Short"
"Case 2203","Question","Premium","High","Medium"
"Case 2204","Question","Gold","High","Medium"
"Case 2205","Incident","Gold","Normal","Short"
"Case 2206","Task","Premium","Normal","Medium"
"Case 2207","Question","Premium","High","Long"
"Case 2208","Task","Premium","Normal","Medium"
"Case 2209","Task","Gold","Normal","Medium"
"Case 221","Task","Premium","Normal","Short"
"Case 2210","Task","Premium","Normal","Medium"
"Case 2211","Task","Premium","High","Medium"
"Case 2212","Question","Premium","High","Short"
"Case 2213","Task","Premium","Normal","Medium"
"Case 2214","Task","Gold","Normal","Long"
"Case 2215","Question","Premium","Normal","Short"
"Case 2216","Task","Premium","Normal","Medium"
"Case 2217","Question","Gold","Normal","Medium"
"Case 2218","Incident","Gold","Normal","Long"
"Case 2219","Task","Premium","High","Medium"
"Case 222","Question","Gold","High","Medium"
"Case 2220","Question","Gold","Normal","Medium"
"Case 2221","Task","Premium","High","Long"
"Case 2222","Task","Premium","High","Medium"
"Case 2223","Question","Premium","Normal","Medium"
"Case 2224","Question","Gold","Normal","Short"
"Case 2225","Question","Gold","High","Medium"
"Case 2226","Question","Gold","Normal","Short"
"Case 2227","Incident","Premium","High","Medium"
"Case 2228","Task","Premium","High","Short"
"Case 2229","Task","Premium","Normal","Long"
"Case 223","Question","Premium","Normal","Medium"
"Case 2230","Question","Premium","Normal","Long"
"Case 2231","Task","Gold","High","Medium"
"Case 2232","Task","Premium","Normal","Medium"
"Case 2233","Question","Gold","Normal","Short"
"Case 2234","Task","Premium","Normal","Medium"
"Case 2235","Task","Premium","High","Medium"
"Case 2236","Task","Premium","Normal","Medium"
"Case 2237","Question","Gold","Normal","Medium"
"Case 2238","Question","Premium","High","Short"
"Case 2239","Task","Gold","Normal","Short"
"Case 224","Incident","Gold","Normal","Short"
"Case 2240","Question","Premium","Urgent","Medium"
"Case 2241","Incident","Gold","Normal","Medium"
"Case 2242","Task","Gold","Normal","Long"
"Case 2243","Incident","Premium","Normal","Medium"
"Case 2244","Task","Premium","Normal","Long"
"Case 2245","Task","Premium","Normal","Medium"
"Case 2246","Task","Premium","Normal","Short"
"Case 2247","Incident","Gold","Normal","Medium"
"Case 2248","Task","Gold","High","Short"
"Case 2249","Question","Gold","Normal","Short"
"Case 225","Incident","Gold","Normal","Long"
"Case 2250","Task","Premium","Normal","Long"
"Case 2251","Incident","Gold","Normal","Long"
"Case 2252","Question","Gold","Normal","Medium"
"Case 2253","Task","Premium","Normal","Long"
"Case 2254","Question","Gold","High","Short"
"Case 2255","Question","Gold","Normal","Medium"
"Case 2256","Question","Gold","High","Medium"
"Case 2257","Task","Premium","Normal","Medium"
"Case 2258","Task","Premium","Normal","Medium"
"Case 2259","Question","Gold","Normal","Medium"
"Case 226","Question","Premium","Normal","Short"
"Case 2260","Question","Gold","Normal","Long"
"Case 2261","Question","Gold","Normal","Long"
"Case 2262","Question","Gold","Normal","Medium"
"Case 2263","Question","Gold","High","Medium"
"Case 2264","Task","Gold","Normal","Short"
"Case 2265","Task","Premium","Normal","Medium"
"Case 2266","Question","Gold","High","Short"
"Case 2267","Task","Premium","Normal","Medium"
"Case 2268","Task","Gold","High","Short"
"Case 2269","Task","Premium","Normal","Medium"
"Case 227","Incident","Gold","Normal","Medium"
"Case 2270","Question","Gold","High","Medium"
"Case 2271","Question","Gold","Normal","Medium"
"Case 2272","Question","Premium","Normal","Short"
"Case 2273","Task","Gold","High","Medium"
"Case 2274","Task","Premium","Normal","Long"
"Case 2275","Question","Gold","Normal","Short"
"Case 2276","Question","Gold","High","Long"
"Case 2277","Question","Gold","Normal","Medium"
"Case 2278","Question","Premium","Normal","Short"
"Case 2279","Task","Premium","Urgent","Short"
"Case 228","Question","Gold","Normal","Medium"
"Case 2280","Question","Gold","High","Long"
"Case 2281","Task","Premium","High","Medium"
"Case 2282","Task","Premium","Normal","Long"
"Case 2283","Question","Gold","High","Short"
"Case 2284","Question","Gold","Urgent","Short"
"Case 2285","Task","Premium","Normal","Long"
"Case 2286","Question","Gold","Normal","Medium"
"Case 2287","Question","Premium","High","Medium"
"Case 2288","Question","Premium","High","Short"
"Case 2289","Task","Premium","Normal","Long"
"Case 229","Question","Premium","Urgent","Long"
"Case 2290","Task","Premium","High","Long"
"Case 2291","Task","Premium","Normal","Short"
"Case 2292","Incident","Gold","Normal","Long"
"Case 2293","Question","Gold","Normal","Short"
"Case 2294","Task","Gold","Normal","Medium"
"Case 2295","Task","Gold","High","Long"
"Case 2296","Question","Gold","Normal","Medium"
"Case 2297","Incident","Gold","Normal","Medium"
"Case 2298","Task","Gold","Normal","Medium"
"Case 2299","Task","Premium","Normal","Medium"
"Case 23","Task","Premium","Normal","Long"
"Case 230","Incident","Premium","Normal","Medium"
"Case 2300","Task","Premium","Normal","Long"
"Case 2301","Task","Premium","Normal","Long"
"Case 2302","Task","Premium","Normal","Long"
"Case 2303","Incident","Premium","Normal","Medium"
"Case 2304","Task","Premium","Normal","Long"
"Case 2305","Question","Gold","High","Short"
"Case 2306","Task","Premium","Normal","Medium"
"Case 2307","Question","Gold","Normal","Medium"
"Case 2308","Task","Premium","Normal","Long"
"Case 2309","Incident","Gold","Normal","Short"
"Case 231","Task","Premium","Normal","Long"
"Case 2310","Task","Premium","Normal","Long"
"Case 2311","Task","Premium","Normal","Long"
"Case 2312","Task","Gold","High","Short"
"Case 2313","Question","Premium","Normal","Long"
"Case 2314","Question","Gold","Normal","Medium"
"Case 2315","Task","Premium","Normal","Short"
"Case 2316","Question","Gold","Urgent","Short"
"Case 2317","Task","Gold","Normal","Short"
"Case 2318","Task","Premium","Normal","Short"
"Case 2319","Task","Premium","Normal","Medium"
"Case 232","Task","Premium","Normal","Short"
"Case 2320","Question","Gold","High","Medium"
"Case 2321","Task","Premium","Normal","Short"
"Case 2322","Task","Premium","Normal","Short"
"Case 2323","Question","Gold","Normal","Short"
"Case 2324","Incident","Premium","Normal","Short"
"Case 2325","Question","Gold","High","Short"
"Case 2326","Task","Premium","Normal","Medium"
"Case 2327","Task","Premium","Normal","Long"
"Case 2328","Task","Premium","Normal","Medium"
"Case 2329","Incident","Gold","Normal","Short"
"Case 233","Task","Premium","Normal","Long"
"Case 2330","Task","Gold","Normal","Short"
"Case 2331","Question","Gold","Urgent","Medium"
"Case 2332","Incident","Premium","High","Long"
"Case 2333","Incident","Premium","High","Short"
"Case 2334","Task","Premium","High","Medium"
"Case 2335","Task","Premium","Normal","Short"
"Case 2336","Incident","Premium","Normal","Medium"
"Case 2337","Task","Gold","High","Short"
"Case 2338","Task","Premium","Normal","Long"
"Case 2339","Task","Premium","Normal","Long"
"Case 234","Task","Gold","Normal","Medium"
"Case 2340","Question","Gold","High","Medium"
"Case 2341","Task","Premium","High","Medium"
"Case 2342","Incident","Premium","Normal","Medium"
"Case 2343","Question","Gold","Normal","Short"
"Case 2344","Question","Gold","Normal","Short"
"Case 2345","Task","Premium","Normal","Medium"
"Case 2346","Task","Premium","Normal","Medium"
"Case 2347","Question","Gold","High","Medium"
"Case 2348","Question","Premium","Normal","Short"
"Case 2349","Task","Premium","High","Medium"
"Case 235","Question","Premium","Normal","Long"
"Case 2350","Incident","Premium","Normal","Short"
"Case 2351","Question","Gold","Normal","Medium"
"Case 2352","Incident","Gold","High","Medium"
"Case 2353","Question","Gold","Normal","Short"
"Case 2354","Task","Gold","Normal","Medium"
"Case 2355","Task","Premium","Normal","Medium"
"Case 2356","Task","Premium","Normal","Long"
"Case 2357","Question","Gold","Normal","Medium"
"Case 2358","Task","Premium","High","Short"
"Case 2359","Question","Gold","Normal","Short"
"Case 236","Task","Premium","Normal","Medium"
"Case 2360","Task","Gold","Normal","Short"
"Case 2361","Question","Premium","High","Short"
"Case 2362","Task","Premium","Normal","Short"
"Case 2363","Question","Gold","Urgent","Long"
"Case 2364","Incident","Gold","Normal","Short"
"Case 2365","Incident","Premium","Normal","Medium"
"Case 2366","Task","Premium","Normal","Medium"
"Case 2367","Task","Premium","Normal","Long"
"Case 2368","Task","Premium","Normal","Short"
"Case 2369","Task","Premium","Normal","Long"
"Case 237","Task","Gold","Normal","Short"
"Case 2370","Task","Premium","Normal","Long"
"Case 2371","Question","Gold","Normal","Short"
"Case 2372","Task","Premium","High","Short"
"Case 2373","Incident","Premium","Normal","Short"
"Case 2374","Question","Premium","Normal","Medium"
"Case 2375","Task","Gold","High","Medium"
"Case 2376","Task","Gold","Normal","Long"
"Case 2377","Task","Premium","High","Medium"
"Case 2378","Task","Premium","Normal","Medium"
"Case 2379","Task","Premium","Urgent","Long"
"Case 238","Incident","Premium","Normal","Medium"
"Case 2380","Task","Premium","Normal","Medium"
"Case 2381","Task","Premium","Normal","Short"
"Case 2382","Question","Premium","Normal","Medium"
"Case 2383","Task","Premium","Normal","Medium"
"Case 2384","Task","Premium","Normal","Medium"
"Case 2385","Incident","Gold","High","Short"
"Case 2386","Question","Gold","Normal","Medium"
"Case 2387","Question","Premium","Normal","Short"
"Case 2388","Task","Premium","Normal","Medium"
"Case 2389","Task","Gold","Normal","Short"
"Case 239","Task","Premium","High","Medium"
"Case 2390","Task","Premium","Normal","Medium"
"Case 2391","Task","Premium","High","Medium"
"Case 2392","Task","Premium","Normal","Medium"
"Case 2393","Question","Gold","Normal","Short"
"Case 2394","Task","Premium","Normal","Medium"
"Case 2395","Question","Premium","High","Short"
"Case 2396","Task","Gold","High","Long"
"Case 2397","Question","Gold","Urgent","Short"
"Case 2398","Task","Premium","Normal","Medium"
"Case 2399","Task","Premium","Normal","Long"
"Case 24","Task","Premium","Normal","Long"
"Case 240","Incident","Gold","High","Short"
"Case 2400","Question","Gold","Normal","Long"
"Case 2401","Question","Gold","Normal","Short"
"Case 2402","Incident","Premium","High","Medium"
"Case 2403","Task","Gold","Normal","Short"
"Case 2404","Question","Gold","Normal","Medium"
"Case 2405","Task","Premium","High","Long"
"Case 2406","Question","Gold","Normal","Short"
"Case 2407","Task","Premium","Normal","Long"
"Case 2408","Question","Gold","High","Medium"
"Case 2409","Question","Gold","Normal","Short"
"Case 241","Question","Gold","Normal","Medium"
"Case 2410","Task","Premium","Normal","Short"
"Case 2411","Question","Gold","Normal","Short"
"Case 2412","Question","Gold","High","Short"
"Case 2413","Question","Premium","Normal","Medium"
"Case 2414","Incident","Gold","Normal","Medium"
"Case 2415","Question","Premium","Normal","Long"
"Case 2416","Incident","Gold","Normal","Medium"
"Case 2417","Task","Premium","Normal","Short"
"Case 2418","Task","Premium","Normal","Long"
"Case 2419","Task","Gold","Normal","Medium"
"Case 242","Task","Premium","Normal","Medium"
"Case 2420","Question","Premium","High","Medium"
"Case 2421","Question","Gold","Normal","Medium"
"Case 2422","Question","Gold","Normal","Long"
"Case 2423","Question","Gold","Normal","Short"
"Case 2424","Task","Premium","High","Medium"
"Case 2425","Task","Premium","Normal","Long"
"Case 2426","Incident","Premium","Urgent","Medium"
"Case 2427","Question","Gold","High","Short"
"Case 2428","Question","Gold","High","Medium"
"Case 2429","Incident","Gold","Normal","Medium"
"Case 243","Question","Premium","Urgent","Medium"
"Case 2430","Incident","Premium","Normal","Medium"
"Case 2431","Task","Premium","Normal","Short"
"Case 2432","Task","Premium","Normal","Medium"
"Case 2433","Question","Gold","Normal","Short"
"Case 2434","Incident","Premium","Normal","Medium"
"Case 2435","Task","Premium","Urgent","Medium"
"Case 2436","Question","Gold","Normal","Short"
"Case 2437","Question","Gold","Normal","Medium"
"Case 2438","Incident","Premium","Normal","Medium"
"Case 2439","Task","Premium","High","Long"
"Case 244","Incident","Gold","Normal","Long"
"Case 2440","Question","Gold","Normal","Medium"
"Case 2441","Task","Premium","Normal","Short"
"Case 2442","Incident","Premium","High","Medium"
"Case 2443","Task","Premium","Normal","Long"
"Case 2444","Question","Premium","Urgent","Long"
"Case 2445","Question","Gold","Normal","Medium"
"Case 2446","Task","Premium","High","Long"
"Case 2447","Task","Premium","High","Medium"
"Case 2448","Task","Premium","Normal","Short"
"Case 2449","Incident","Premium","Normal","Medium"
"Case 245","Incident","Premium","Normal","Short"
"Case 2450","Question","Gold","Normal","Medium"
"Case 2451","Task","Premium","Normal","Long"
"Case 2452","Task","Premium","Normal","Medium"
"Case 2453","Incident","Gold","Normal","Medium"
"Case 2454","Incident","Premium","High","Medium"
"Case 2455","Incident","Premium","Normal","Long"
"Case 2456","Question","Gold","Normal","Long"
"Case 2457","Task","Premium","Normal","Long"
"Case 2458","Task","Premium","Normal","Long"
"Case 2459","Incident","Premium","Normal","Short"
"Case 246","Task","Premium","Normal","Long"
"Case 2460","Question","Gold","Normal","Short"
"Case 2461","Question","Gold","High","Short"
"Case 2462","Task","Gold","Normal","Medium"
"Case 2463","Task","Gold","Normal","Medium"
"Case 2464","Incident","Premium","Normal","Short"
"Case 2465","Task","Premium","Normal","Medium"
"Case 2466","Task","Premium","Normal","Long"
"Case 2467","Task","Premium","Normal","Short"
"Case 2468","Question","Premium","High","Medium"
"Case 2469","Incident","Gold","Normal","Long"
"Case 247","Question","Gold","Normal","Medium"
"Case 2470","Task","Premium","Normal","Medium"
"Case 2471","Incident","Premium","Normal","Long"
"Case 2472","Question","Premium","Urgent","Long"
"Case 2473","Task","Premium","High","Medium"
"Case 2474","Task","Gold","Normal","Medium"
"Case 2475","Task","Premium","Normal","Long"
"Case 2476","Question","Gold","Normal","Long"
"Case 2477","Question","Premium","Normal","Short"
"Case 2478","Incident","Gold","Normal","Long"
"Case 2479","Question","Gold","Normal","Short"
"Case 248","Incident","Gold","High","Medium"
"Case 2480","Question","Premium","High","Medium"
"Case 2481","Task","Premium","Normal","Long"
"Case 2482","Question","Gold","Normal","Long"
"Case 2483","Task","Premium","Normal","Medium"
"Case 2484","Question","Premium","High","Long"
"Case 2485","Incident","Premium","Normal","Short"
"Case 2486","Task","Premium","High","Medium"
"Case 2487","Task","Premium","Normal","Long"
"Case 2488","Task","Gold","Normal","Long"
"Case 2489","Task","Premium","High","Medium"
"Case 249","Question","Gold","Normal","Short"
"Case 2490","Task","Premium","Normal","Long"
"Case 2491","Task","Premium","Normal","Long"
"Case 2492","Question","Gold","Normal","Short"
"Case 2493","Question","Gold","High","Long"
"Case 2494","Question","Gold","Normal","Short"
"Case 2495","Task","Gold","High","Short"
"Case 2496","Question","Premium","Normal","Short"
"Case 2497","Question","Gold","High","Medium"
"Case 2498","Task","Premium","High","Short"
"Case 2499","Task","Premium","Normal","Medium"
"Case 25","Question","Premium","High","Long"
"Case 250","Question","Gold","Normal","Medium"
"Case 2500","Task","Premium","Normal","Long"
"Case 2501","Task","Gold","Urgent","Medium"
"Case 2502","Task","Gold","High","Medium"
"Case 2503","Question","Premium","Normal","Short"
"Case 2504","Task","Premium","High","Long"
"Case 2505","Task","Premium","Normal","Medium"
"Case 2506","Task","Premium","Normal","Long"
"Case 2507","Question","Premium","Urgent","Medium"
"Case 2508","Task","Gold","Normal","Medium"
"Case 2509","Question","Gold","Normal","Short"
"Case 251","Incident","Premium","Normal","Short"
"Case 2510","Task","Gold","Normal","Medium"
"Case 2511","Incident","Premium","High","Medium"
"Case 2512","Incident","Premium","High","Medium"
"Case 2513","Incident","Premium","Normal","Medium"
"Case 2514","Task","Premium","Normal","Long"
"Case 2515","Incident","Gold","High","Short"
"Case 2516","Question","Gold","Normal","Short"
"Case 2517","Incident","Premium","Normal","Short"
"Case 2518","Task","Premium","Normal","Medium"
"Case 2519","Task","Premium","Normal","Long"
"Case 252","Incident","Premium","Normal","Long"
"Case 2520","Task","Premium","Normal","Medium"
"Case 2521","Task","Gold","High","Medium"
"Case 2522","Task","Premium","Normal","Short"
"Case 2523","Task","Gold","Normal","Short"
"Case 2524","Task","Premium","High","Long"
"Case 2525","Question","Gold","High","Medium"
"Case 2526","Task","Gold","High","Medium"
"Case 2527","Question","Premium","Normal","Short"
"Case 2528","Question","Gold","Normal","Short"
"Case 2529","Incident","Gold","Normal","Short"
"Case 253","Incident","Premium","Normal","Medium"
"Case 2530","Task","Premium","High","Medium"
"Case 2531","Question","Gold","Normal","Medium"
"Case 2532","Incident","Gold","High","Long"
"Case 2533","Question","Gold","High","Medium"
"Case 2534","Question","Premium","High","Medium"
"Case 2535","Question","Gold","High","Medium"
"Case 2536","Incident","Premium","Normal","Long"
"Case 2537","Question","Premium","High","Long"
"Case 2538","Task","Premium","Normal","Long"
"Case 2539","Question","Gold","High","Long"
"Case 254","Question","Gold","High","Long"
"Case 2540","Question","Gold","Normal","Medium"
"Case 2541","Task","Premium","Normal","Long"
"Case 2542","Question","Gold","Normal","Short"
"Case 2543","Task","Premium","Normal","Medium"
"Case 2544","Task","Gold","Normal","Medium"
"Case 2545","Question","Gold","High","Medium"
"Case 2546","Incident","Gold","Normal","Short"
"Case 2547","Question","Gold","High","Medium"
"Case 2548","Question","Gold","High","Medium"
"Case 2549","Question","Gold","Normal","Medium"
"Case 255","Incident","Gold","Normal","Medium"
"Case 2550","Task","Premium","Urgent","Medium"
"Case 2551","Question","Premium","Normal","Short"
"Case 2552","Incident","Gold","Normal","Medium"
"Case 2553","Question","Gold","Urgent","Medium"
"Case 2554","Question","Premium","Normal","Short"
"Case 2555","Task","Premium","Normal","Medium"
"Case 2556","Question","Gold","Normal","Medium"
"Case 2557","Question","Gold","Normal","Medium"
"Case 2558","Task","Premium","Normal","Medium"
"Case 2559","Task","Premium","High","Long"
"Case 256","Task","Premium","Normal","Short"
"Case 2560","Task","Premium","Normal","Medium"
"Case 2561","Question","Gold","Normal","Long"
"Case 2562","Task","Gold","Normal","Medium"
"Case 2563","Question","Gold","High","Medium"
"Case 2564","Question","Gold","Normal","Long"
"Case 2565","Incident","Gold","High","Medium"
"Case 2566","Question","Gold","Normal","Short"
"Case 2567","Task","Premium","Normal","Medium"
"Case 2568","Question","Gold","Normal","Short"
"Case 2569","Task","Premium","Normal","Medium"
"Case 257","Question","Gold","High","Medium"
"Case 2570","Question","Premium","High","Medium"
"Case 2571","Task","Premium","Normal","Medium"
"Case 2572","Task","Premium","Normal","Long"
"Case 2573","Question","Gold","High","Medium"
"Case 2574","Task","Premium","High","Medium"
"Case 2575","Question","Premium","Normal","Long"
"Case 2576","Task","Premium","Normal","Medium"
"Case 2577","Task","Gold","Normal","Long"
"Case 2578","Incident","Gold","Normal","Long"
"Case 2579","Question","Gold","Normal","Medium"
"Case 258","Task","Gold","Urgent","Medium"
"Case 2580","Question","Gold","Normal","Long"
"Case 2581","Task","Premium","High","Long"
"Case 2582","Question","Gold","High","Medium"
"Case 2583","Task","Premium","Normal","Medium"
"Case 2584","Task","Premium","Normal","Medium"
"Case 2585","Task","Premium","High","Medium"
"Case 2586","Question","Gold","Normal","Short"
"Case 2587","Question","Gold","Normal","Medium"
"Case 2588","Question","Gold","High","Short"
"Case 2589","Task","Premium","Normal","Short"
"Case 259","Incident","Premium","Normal","Long"
"Case 2590","Question","Gold","Normal","Long"
"Case 2591","Task","Premium","Normal","Medium"
"Case 2592","Question","Gold","Normal","Medium"
"Case 2593","Task","Premium","Normal","Short"
"Case 2594","Incident","Gold","Urgent","Long"
"Case 2595","Question","Gold","High","Long"
"Case 2596","Task","Premium","Normal","Long"
"Case 2597","Question","Gold","Normal","Long"
"Case 2598","Task","Premium","Normal","Long"
"Case 2599","Task","Premium","Normal","Medium"
"Case 26","Question","Gold","Normal","Medium"
"Case 260","Task","Premium","Normal","Medium"
"Case 2600","Incident","Gold","Normal","Long"
"Case 2601","Question","Gold","Normal","Long"
"Case 2602","Incident","Gold","High","Short"
"Case 2603","Task","Gold","Normal","Short"
"Case 2604","Task","Premium","High","Short"
"Case 2605","Task","Premium","High","Long"
"Case 2606","Task","Gold","High","Medium"
"Case 2607","Task","Gold","Normal","Long"
"Case 2608","Incident","Premium","Normal","Short"
"Case 2609","Task","Premium","Normal","Medium"
"Case 261","Question","Gold","High","Short"
"Case 2610","Incident","Premium","Normal","Medium"
"Case 2611","Task","Premium","Normal","Short"
"Case 2612","Task","Premium","Normal","Medium"
"Case 2613","Task","Premium","Normal","Long"
"Case 2614","Task","Premium","Normal","Medium"
"Case 2615","Incident","Premium","Normal","Short"
"Case 2616","Task","Premium","Normal","Short"
"Case 2617","Task","Premium","Normal","Medium"
"Case 2618","Question","Gold","Normal","Long"
"Case 2619","Task","Premium","Normal","Short"
"Case 262","Task","Premium","Normal","Medium"
"Case 2620","Task","Premium","Normal","Medium"
"Case 2621","Task","Premium","High","Long"
"Case 2622","Task","Premium","Normal","Medium"
"Case 2623","Incident","Premium","Normal","Long"
"Case 2624","Task","Gold","Normal","Medium"
"Case 2625","Task","Premium","Normal","Medium"
"Case 2626","Incident","Gold","Normal","Long"
"Case 2627","Question","Premium","Urgent","Medium"
"Case 2628","Task","Gold","High","Long"
"Case 2629","Question","Gold","Normal","Medium"
